algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps_no_classify,80,456,0.2,False,16,193,840,3.0915,1.7693,0,498,498,1.0,934,47.56,0.0504,0.2076,0.0259,0.6112,dense_random,dense_random,32x32
drimaps_no_minimal,80,456,0.225,False,18,97,690,2.9506,2.5606,0,482,482,1.0,2057,47.77,0.0528,0.1975,0.0253,1.4064,dense_random,dense_random,32x32
drimaps,60,789,0.2833,False,17,116,525,1.5848,1.2255,0,326,326,1.0,591,47.77,0.0368,0.1009,0.0181,0.4741,dense_random,dense_random,32x32
drimaps_no_cycle,60,789,0.1833,False,11,26,146,1.0309,0.8228,0,50,50,1.0,58,47.77,0.0368,0.1114,0.0012,0.074,dense_random,dense_random,32x32
drimaps_no_classify,60,789,0.3333,False,20,201,1260,3.7382,1.1134,0,267,267,1.0,478,47.77,0.0374,0.0991,0.0164,0.3489,dense_random,dense_random,32x32
drimaps_no_minimal,60,789,0.1667,False,10,85,186,1.6083,1.714,0,465,465,1.0,1405,47.77,0.0373,0.1175,0.0193,0.9175,dense_random,dense_random,32x32
drimaps,80,789,0.225,False,18,209,868,2.9781,2.0559,0,478,478,1.0,748,47.77,0.0503,0.1893,0.0234,0.6855,dense_random,dense_random,32x32
drimaps_no_cycle,80,789,0.1125,False,9,108,225,1.8057,1.4844,0,89,89,1.0,91,47.77,0.0505,0.2102,0.0016,0.1622,dense_random,dense_random,32x32
drimaps_no_classify,80,789,0.2375,False,19,135,958,3.1067,1.8299,0,445,445,1.0,679,47.77,0.0511,0.1824,0.0235,0.5655,dense_random,dense_random,32x32
drimaps_no_minimal,80,789,0.2,False,16,98,580,2.4191,2.7557,0,488,488,1.0,1933,47.77,0.0507,0.1952,0.0246,1.3526,dense_random,dense_random,32x32
drimaps,60,1024,0.2667,False,16,146,714,1.8757,2.4144,0,225,225,1.0,364,47.77,0.0358,0.1091,0.017,0.2913,dense_random,dense_random,32x32
drimaps_no_cycle,60,1024,0.0833,False,5,21,88,1.0,2.3244,0,160,160,1.0,161,47.77,0.037,0.1352,0.0013,0.1943,dense_random,dense_random,32x32
drimaps_no_classify,60,1024,0.2667,False,16,220,811,2.3769,2.48,0,242,242,1.0,360,47.77,0.0372,0.1176,0.0186,0.248,dense_random,dense_random,32x32
drimaps_no_minimal,60,1024,0.2833,False,17,178,932,1.8927,2.7179,0,291,291,1.0,994,47.77,0.0376,0.1089,0.0185,0.6094,dense_random,dense_random,32x32
drimaps,80,1024,0.225,False,18,49,454,1.5342,3.0276,0,366,366,1.0,692,47.77,0.0458,0.2014,0.0247,0.5226,dense_random,dense_random,32x32
drimaps_no_cycle,80,1024,0.0625,False,5,22,67,1.0933,2.5854,0,83,83,1.0,107,47.77,0.0514,0.2433,0.0017,0.1255,dense_random,dense_random,32x32
drimaps_no_classify,80,1024,0.2125,False,17,157,773,2.6514,2.8159,0,326,326,1.0,512,47.77,0.0489,0.2082,0.0254,0.3674,dense_random,dense_random,32x32
drimaps_no_minimal,80,1024,0.15,False,12,112,526,2.7966,3.372,0,544,544,1.0,1625,47.77,0.0488,0.2232,0.0256,0.8884,dense_random,dense_random,32x32
drimaps,60,7,0.4333,False,26,147,1249,1.951,1.2027,0,237,237,1.0,335,47.77,0.0361,0.0688,0.0133,0.2397,dense_random,dense_random,32x32
drimaps_no_cycle,60,7,0.2167,False,13,56,195,1.1307,1.1083,0,93,93,1.0,93,47.77,0.0362,0.0926,0.0012,0.1431,dense_random,dense_random,32x32
drimaps_no_classify,60,7,0.4,False,24,169,1081,2.3928,1.1504,0,204,204,1.0,306,47.77,0.0355,0.0714,0.0129,0.1901,dense_random,dense_random,32x32
drimaps_no_minimal,60,7,0.2833,False,17,125,574,1.901,1.6145,0,404,404,1.0,1096,47.77,0.035,0.084,0.0152,0.6366,dense_random,dense_random,32x32
drimaps,80,7,0.225,False,18,99,457,1.9863,1.8464,0,414,414,1.0,717,47.77,0.0445,0.1713,0.0219,0.5481,dense_random,dense_random,32x32
drimaps_no_cycle,80,7,0.1,False,8,18,83,1.1964,1.3637,0,55,55,1.0,58,47.77,0.0456,0.2015,0.0014,0.0986,dense_random,dense_random,32x32
drimaps_no_classify,80,7,0.2125,False,17,127,526,2.3068,1.6528,0,353,353,1.0,541,47.77,0.0511,0.1773,0.0221,0.3632,dense_random,dense_random,32x32
drimaps_no_minimal,80,7,0.275,False,22,112,1036,3.182,2.2,0,530,530,1.0,1639,47.77,0.0506,0.1618,0.0215,0.9177,dense_random,dense_random,32x32
drimaps,60,88,0.2833,False,17,118,558,1.8941,1.8435,0,215,215,1.0,262,47.77,0.0365,0.0946,0.0156,0.2602,dense_random,dense_random,32x32
drimaps_no_cycle,60,88,0.1333,False,8,49,118,1.2153,1.7384,0,94,94,1.0,100,47.77,0.0392,0.1151,0.0012,0.1409,dense_random,dense_random,32x32
drimaps_no_classify,60,88,0.3,False,18,184,797,2.2906,1.7463,0,213,213,1.0,307,47.77,0.037,0.0933,0.0152,0.2243,dense_random,dense_random,32x32
drimaps_no_minimal,60,88,0.1833,False,11,44,192,1.3167,2.3292,0,330,330,1.0,1090,47.77,0.0354,0.1035,0.0162,0.7464,dense_random,dense_random,32x32
drimaps,80,88,0.275,False,22,109,1008,2.1239,1.7034,0,308,308,1.0,520,47.77,0.0504,0.1647,0.0204,0.4664,dense_random,dense_random,32x32
drimaps_no_cycle,80,88,0.05,False,4,42,66,1.0781,1.347,0,39,39,1.0,99,47.77,0.0503,0.2285,0.0014,0.0905,dense_random,dense_random,32x32
drimaps_no_classify,80,88,0.275,False,22,178,1713,3.1491,1.5551,0,332,332,1.0,489,47.77,0.0511,0.1758,0.0203,0.3174,dense_random,dense_random,32x32
drimaps_no_minimal,80,88,0.175,False,14,213,1332,3.1725,2.727,0,551,551,1.0,2171,47.77,0.0511,0.2054,0.0237,1.4147,dense_random,dense_random,32x32
